iter	Passed	Remaining
0	0	310
1	0	283
2	1	258
3	1	242
4	1	259
5	2	263
6	2	258
7	2	253
8	2	249
9	3	245
10	3	241
11	3	245
12	4	242
13	4	240
14	4	237
15	4	231
16	5	229
17	5	226
18	5	223
19	5	221
20	6	218
21	6	222
22	6	222
23	7	221
24	7	220
25	7	219
26	7	218
27	8	216
28	8	215
29	8	214
30	9	215
31	9	214
32	9	215
33	9	214
34	10	213
35	10	213
36	10	212
37	11	210
38	11	217
39	12	218
40	12	217
41	12	217
42	12	216
43	13	215
44	13	214
45	13	213
46	13	212
47	14	211
48	14	210
49	14	209
50	14	208
51	15	208
52	15	207
53	15	206
54	16	207
55	16	206
56	16	206
57	16	207
58	17	206
59	17	206
60	17	205
61	18	204
62	18	204
63	18	203
64	18	203
65	19	203
66	19	203
67	19	203
68	20	202
69	20	201
70	20	200
71	20	200
72	21	200
73	21	199
74	21	199
75	22	199
76	22	199
77	22	198
78	22	198
79	23	197
80	23	196
81	23	196
82	23	195
83	24	194
84	24	194
85	24	193
86	24	193
87	25	193
88	25	194
89	25	194
90	26	194
91	26	194
92	26	193
93	27	193
94	27	192
95	27	192
96	27	192
97	28	192
98	28	191
99	28	191
100	29	191
101	29	190
102	29	190
103	29	189
104	30	189
105	30	189
106	30	189
107	31	188
108	31	188
109	31	187
110	31	187
111	32	187
112	32	186
113	32	186
114	32	185
115	33	185
116	33	184
117	33	184
118	33	183
119	34	182
120	34	182
121	34	181
122	34	182
123	35	183
124	35	184
125	36	183
126	36	182
127	36	182
128	36	181
129	37	181
130	37	180
131	37	180
132	37	180
133	38	179
134	38	179
135	38	178
136	39	178
137	39	178
138	39	178
139	39	178
140	40	177
141	40	177
142	40	177
143	41	177
144	41	176
145	41	176
146	41	176
147	42	175
148	42	175
149	42	174
150	42	174
151	43	173
152	43	173
153	43	172
154	43	172
155	43	171
156	44	171
157	44	171
158	44	170
159	45	170
160	45	170
161	45	170
162	45	169
163	46	169
164	46	168
165	46	167
166	46	167
167	46	166
168	47	166
169	47	165
170	47	165
171	47	164
172	47	163
173	48	163
174	48	163
175	48	162
176	48	162
177	49	162
178	49	161
179	49	161
180	50	161
181	50	160
182	50	160
183	50	160
184	50	159
185	51	159
186	51	158
187	51	158
188	51	158
189	52	157
190	52	157
191	52	157
192	52	156
193	53	156
194	53	155
195	53	155
196	53	155
197	54	155
198	54	154
199	54	154
200	54	153
201	55	153
202	55	153
203	55	152
204	55	151
205	55	151
206	56	151
207	56	150
208	56	150
209	56	149
210	56	149
211	56	148
212	57	148
213	57	147
214	57	147
215	57	146
216	58	146
217	58	146
218	58	146
219	58	146
220	59	145
221	59	145
222	59	145
223	59	144
224	60	144
225	60	143
226	60	143
227	60	143
228	61	142
229	61	142
230	61	141
231	61	141
232	61	141
233	62	140
234	62	140
235	62	140
236	62	139
237	63	139
238	63	139
239	63	139
240	63	139
241	64	138
242	64	138
243	64	138
244	64	137
245	65	137
246	65	137
